Frequency Bin [Hz],x-axis [mg],y-axis [mg],z-axis [mg]
481.72,0,2.8605,0
482.559,0,2.8605,0
483.398,0,2.8605,0
484.238,0,0,1.907
485.077,0,25.7444,7.628
485.916,0,61.9605,9.534
486.755,0,36.2237,1.907
487.595,0,0,0
488.434,0,5.72099,0
489.273,0,6.67345,1.907
490.112,0,3.814,0
490.952,0,0,1.907
491.791,0,4.767,3.814
492.63,0,4.767,3.814
493.469,0,3.814,2.8605
494.308,0,0,1.907
495.148,0,0,1.907
495.987,0,2.8605,3.814
496.826,0,3.814,2.8605
497.665,0,3.814,1.907
498.505,0,1.907,0
499.344,0,0,1.907
500.183,0,1.907,2.8605
501.022,0,4.767,0
501.862,0,4.767,2.8605
502.701,0,2.8605,3.814
503.54,0,1.907,2.8605
504.379,0,0,1.907
505.219,0,0,0
506.058,0,0,1.907
506.897,0,0,2.8605
507.736,0,4.767,5.72099
508.575,0,5.72099,5.72099
509.415,0,4.767,3.814
510.254,0,4.767,2.8605
511.093,0,4.767,2.8605
511.932,0,4.767,2.8605
512.772,0,2.8605,1.907
513.611,0,1.907,1.907
514.45,0,1.907,4.767
515.289,0,2.8605,2.8605
516.129,0,4.767,4.767
516.968,0,5.72099,5.72099
517.807,0,4.767,2.8605
518.646,0,0,0
519.485,0,2.8605,2.8605
520.325,0,3.814,3.814
521.164,0,1.907,2.8605
522.003,0,1.907,0
522.842,0,0,0
523.682,0,0,3.814
524.521,0,2.8605,6.67345
525.36,0,3.814,8.58148
526.199,0,2.8605,6.67345
527.039,0,2.8605,6.67345
527.878,0,2.8605,4.767
528.717,0,1.907,3.814
529.556,0,2.8605,2.8605
530.396,0,1.907,1.907
531.235,0,0,1.907
532.074,0,0,3.814
532.913,0,1.907,1.907
533.752,0,1.907,0
534.592,0,0,3.814
535.431,0,0,5.72099
536.27,0,0,2.8605
537.109,0,0,0
537.949,0,0,2.8605
538.788,0,0,2.8605
539.627,0,0,4.767
540.466,0,0,3.814
541.306,0,0,1.907
542.145,0,0,0
542.984,0,0,0
543.823,0,2.8605,0
544.662,0,3.814,2.8605
545.502,0,1.907,2.8605
546.341,0,0,0
547.18,0,0,1.907
548.019,0,0,2.8605
548.859,0,1.907,3.814
549.698,0,0,1.907
550.537,0,0,1.907
551.376,0,0,0
552.216,0,0,1.907
553.055,0,0,1.907
553.894,0,0,0
554.733,0,0,1.907
555.573,0,0,1.907
556.412,0,0,2.8605
557.251,0,0,2.8605
558.09,0,0,2.8605
558.929,0,1.907,1.907
559.769,0,1.907,0
560.608,0,1.907,1.907
561.447,0,0,0
562.286,0,0,0
563.126,0,2.8605,1.907
563.965,0,1.907,1.907
564.804,0,0,1.907
565.643,0,0,1.907
566.483,0,0,1.907
567.322,0,0,1.907
568.161,0,0,0
569,0,2.8605,0
569.839,0,1.907,0
570.679,0,1.907,0
571.518,0,1.907,1.907
572.357,0,0,1.907
573.196,0,0,1.907
574.036,0,0,4.767
574.875,0,0,3.814
575.714,0,0,0
576.553,0,0,1.907
577.393,0,0,2.8605
578.232,0,0,1.907
579.071,0,0,1.907
579.91,0,0,1.907
580.75,0,0,1.907
581.589,0,0,0
582.428,0,0,0
583.267,0,0,1.907
584.106,0,0,0
584.946,0,0,0
585.785,0,0,0
586.624,0,1.907,0
587.463,0,0,1.907
588.303,0,0,1.907
589.142,0,0,0
589.981,0,0,0
590.82,0,0,0
591.66,0,1.907,0
592.499,0,1.907,2.8605
593.338,0,0,3.814
594.177,0,0,3.814
595.016,0,1.907,1.907
595.856,0,3.814,0
596.695,0,0,0
597.534,0,2.8605,1.907
598.373,0,2.8605,2.8605
599.213,0,1.907,1.907
600.052,0,1.907,3.814
600.891,0,1.907,4.767
601.73,0,1.907,1.907
602.57,0,1.907,0
603.409,0,1.907,0
604.248,0,0,1.907
605.087,0,4.767,5.72099
605.927,0,3.814,1.907
606.766,0,6.67345,16.2088
607.605,0,14.301,29.5566
608.444,0,8.58148,14.301
609.283,0,1.907,1.907
610.123,0,0,1.907
610.962,0,0,5.72099
611.801,0,1.907,5.72099
612.64,0,0,1.907
613.48,0,0,0
614.319,0,1.907,1.907
615.158,0,2.8605,1.907
615.997,0,0,0
616.837,0,1.907,2.8605
617.676,0,1.907,1.907
618.515,0,1.907,0
619.354,0,1.907,2.8605
620.193,0,0,1.907
621.033,0,1.907,0
621.872,0,1.907,1.907
622.711,0,1.907,0
623.55,0,2.8605,2.8605
624.39,0,1.907,3.814
625.229,0,0,2.8605
626.068,0,1.907,3.814
626.907,0,0,0
627.747,0,0,0
628.586,0,2.8605,4.767
629.425,0,5.72099,8.58148
630.264,0,5.72099,7.628
631.104,0,3.814,3.814
631.943,0,1.907,1.907
632.782,0,4.767,1.907
633.621,0,2.8605,1.907
634.46,0,0,0
635.3,0,0,2.8605
636.139,0,0,0
636.978,0,1.907,1.907
637.817,0,0,0
638.657,0,0,1.907
639.496,0,0,0
640.335,0,1.907,1.907
641.174,0,0,1.907
642.014,0,1.907,0
642.853,0,1.907,0
643.692,0,0,0
644.531,0,0,0
645.37,0,0,1.907
646.21,0,1.907,4.767
647.049,0,1.907,3.814
647.888,0,1.907,1.907
648.727,0,1.907,1.907
649.567,0,0,2.8605
650.406,0,2.8605,3.814
651.245,0,2.8605,2.8605
652.084,0,1.907,0
652.924,0,0,1.907
653.763,0,0,0
654.602,0,0,2.8605
655.441,0,1.907,3.814
656.281,0,2.8605,6.67345
657.12,0,3.814,6.67345
657.959,0,0,2.8605
