Time [s],x-axis [g],y-axis [g],z-axis [g]
0.609745,0.593186,-1.59836,5.60379
0.610036,0.555039,-0.499725,6.66237
0.610327,0.450134,-2.32124,7.54166
0.610618,0.314713,0.305176,10.6945
0.610909,0.164032,2.28882,6.93512
0.6112,0.0152588,-0.91362,9.3422
0.611491,-0.133514,-0.478745,2.59399
0.611782,-0.278473,-0.736237,5.95093
0.612073,-0.415802,-1.7643,4.20761
0.612364,-0.535965,-0.680924,1.92642
0.612655,-0.63324,0.576019,-1.22833
0.612945,-0.69809,1.58691,-2.82478
0.613236,-0.734329,-0.576019,-3.1395
0.613527,-0.753403,0.312805,-8.25501
0.613818,-0.774384,0.246048,-7.05338
0.614109,-0.816345,-1.54686,-7.37381
0.6144,-0.88501,0.549317,-10.1891
0.614691,-0.97847,1.14632,-10.582
0.614982,-1.07193,-0.389099,-9.00841
0.615273,-1.13297,2.04659,-6.3839
0.615564,-1.13487,0.770569,-6.61278
0.615855,-1.05286,-0.801087,-4.55856
0.616145,-0.88501,0.852585,-1.15585
0.616436,-0.650406,-0.545502,-0.932694
0.616727,-0.377655,0.841141,1.11771
0.617018,-0.0991822,1.27411,1.64413
0.617309,0.148773,-0.667572,6.15501
0.6176,0.349045,0.471115,5.17082
0.617891,0.488281,-0.69809,6.18363
0.618182,0.570297,-1.26839,6.52504
0.618473,0.597,-1.62888,6.93512
0.618764,0.570297,-0.341415,11.6901
0.619055,0.484467,2.33269,7.267
0.619345,0.341415,-0.947952,10.0746
0.619636,0.144959,-0.225067,5.54276
0.619927,-0.0915527,-0.938416,4.82941
0.620218,-0.341415,-1.96457,3.83186
0.620509,-0.56839,-0.295639,0.774384
0.6208,-0.741959,0.673294,0.583649
0.621091,-0.843048,0.444412,-3.1147
0.621382,-0.867844,0.391007,-2.76756
0.621673,-0.835419,0.21553,-7.85637
0.621964,-0.776291,-0.831604,-7.18308
0.622255,-0.732422,0.507355,-7.22885
0.622545,-0.738144,-0.261307,-8.11196
0.622836,-0.806809,0.749588,-9.8896
0.623127,-0.928879,1.25313,-9.13811
0.623418,-1.07002,1.10436,-9.01985
0.623709,-1.17874,-0.312805,-5.34821
0.624,-1.20163,0.0724793,-5.15175
0.624291,-1.10245,0.141144,-3.61633
0.624582,-0.871659,-1.07002,-2.06757
0.624873,-0.53215,1.20163,0.812531
0.625164,-0.137329,1.30844,3.6583
0.625455,0.249863,0.984192,4.75311
0.625745,0.566483,-0.308991,6.97708
0.626036,0.764847,-0.211716,5.87082
0.626327,0.827789,-1.74141,6.04439
0.626618,0.764847,-1.15967,6.67191
0.626909,0.60463,-0.934601,9.12285
0.6272,0.38147,1.01852,9.14192
0.627491,0.131607,0.701904,8.76427
0.627782,-0.120163,0.0209808,8.30651
0.628073,-0.350952,-1.88828,5.12695
0.628364,-0.549317,-1.59836,3.87001
0.628655,-0.69809,-0.528336,2.27547
0.628945,-0.785828,-0.0648499,0.892639
0.629236,-0.808716,0.976563,-1.85776
0.629527,-0.782013,1.67275,-4.30107
0.629818,-0.732422,-0.869751,-5.14984
0.630109,-0.692368,-1.11961,-6.29997
0.6304,-0.699997,0.562668,-9.76372
0.630691,-0.774384,-0.728607,-8.04901
0.630982,-0.907898,1.31989,-9.70459
0.631273,-1.06621,1.69563,-10.7727
0.631564,-1.194,-0.667572,-10.4771
0.631855,-1.23978,0.547409,-4.96674
0.632145,-1.16158,1.65749,-5.89562
0.632436,-0.959397,-1.81389,-3.69644
0.632727,-0.659943,0.465393,-2.09045
0.633018,-0.314713,2.02179,0.770569
0.633309,0.0133514,-0.827789,4.42124
0.6336,0.274658,1.52397,3.2959
0.633891,0.442505,0.154495,5.1918
0.634182,0.514984,-1.14822,6.26373
0.634473,0.507355,-0.38147,7.79152
0.634764,0.448227,-1.28555,6.70052
0.635055,0.362396,-2.71606,9.51195
0.635345,0.257492,0.528336,8.68416
0.635636,0.141144,2.68173,8.15392
0.635927,0.00953675,-0.839234,7.71713
0.636218,-0.133514,-1.27602,5.53703
0.636509,-0.284195,-0.616074,4.83894
0.6368,-0.431061,-1.01662,3.09372
0.637091,-0.549317,-0.886917,0.21553
0.637382,-0.629425,2.03896,-2.20871
0.637673,-0.667572,0.591278,-3.62206
0.637964,-0.677109,-0.62561,-5.1651
0.638255,-0.679016,-0.385284,-7.00951
0.638545,-0.696182,-0.440598,-7.80487
0.638836,-0.757218,0.875473,-8.07762
0.639127,-0.858307,1.07193,-8.91686
0.639418,-0.984192,-0.0953674,-10.3722
0.639709,-1.09673,0.362396,-10.0727
0.64,-1.15585,0.417709,-5.77164
0.640291,-1.12724,1.02234,-5.62477
0.640582,-0.993729,-0.673294,-3.39508
0.640873,-0.768662,0.371933,-1.20926
0.641164,-0.482559,1.38664,0.43869
0.641455,-0.18692,-1.20354,2.99835
0.641745,0.076294,1.8959,1.70708
0.642036,0.274658,-0.225067,5.77545
0.642327,0.391007,-0.0877381,6.50978
0.642618,0.43869,-0.770569,5.64766
0.642909,0.431061,-1.4286,6.34194
0.6432,0.389099,-1.5316,6.79588
0.643491,0.320435,-0.230789,11.4079
0.643782,0.225067,2.16866,7.99179
0.644073,0.0953674,-0.627518,7.69425
0.644364,-0.0705719,-0.482559,5.64766
0.644655,-0.267029,-0.581741,5.24139
0.644945,-0.469208,-1.88637,2.59399
0.645236,-0.640869,-0.722885,1.35422
0.645527,-0.753403,1.07765,-0.118256
0.645818,-0.785828,1.08719,-3.58009
0.646109,-0.745773,-0.34523,-5.03159
0.6464,-0.665665,-0.688553,-6.16837
0.646691,-0.591278,0.221252,-6.29807
0.646982,-0.574112,-0.276566,-7.50542
0.647273,-0.638962,1.36566,-7.83157
0.647564,-0.789643,0.179291,-10.1757
0.647855,-0.989914,0.238419,-10.0174
0.648145,-1.18256,-0.148773,-8.35991
0.648436,-1.30463,1.25504,-6.46019
0.648727,-1.30272,0.146866,-5.97191
0.649018,-1.15204,-0.0953674,-1.61362
0.649309,-0.867844,0.915528,-0.822067
0.6496,-0.495911,-0.732422,2.27165
0.649891,-0.0972748,0.764847,2.58446
0.650182,0.261307,1.49345,4.93813
0.650473,0.522614,0.44632,6.08635
0.650764,0.66185,-1.35422,6.54984
0.651055,0.679016,-1.09863,6.63185
0.651345,0.600815,-1.06049,7.97653
0.651636,0.459671,-2.13242,10.231
0.651927,0.289917,1.60408,7.64847
0.652218,0.12207,1.46675,7.25365
0.652509,-0.0362396,-0.44632,6.44493
0.6528,-0.181198,-1.43814,5.21088
0.653091,-0.318527,-0.749588,4.58336
0.653382,-0.444412,-1.92833,1.95885
0.653673,-0.555039,0.368118,-0.0610352
0.653964,-0.642777,0.0991822,-3.23868
0.654255,-0.696182,1.36948,-4.50325
0.654545,-0.720978,0.631333,-6.42586
0.654836,-0.730515,-0.919342,-6.11878
0.655127,-0.753403,0.400543,-7.61223
0.655418,-0.808716,0.526428,-7.83157
0.655709,-0.909805,0.217438,-9.30977
0.656,-1.04523,-0.289917,-10.0822
0.656291,-1.17493,0.860214,-9.14383
0.656582,-1.25122,1.38664,-5.04112
0.656873,-1.22643,0.402451,-5.23758
0.657164,-1.07956,0.314713,-3.65067
0.657455,-0.812531,-0.810623,-1.47057
0.657745,-0.467301,-0.982285,1.55258
0.658036,-0.0972748,1.18256,2.09999
0.658327,0.234604,1.85585,4.2038
0.658618,0.486374,0.761032,6.55556
0.658909,0.635147,-0.164032,5.3196
0.6592,0.682831,-2.20299,5.21469
0.659491,0.648499,-1.51253,6.19507
0.659782,0.553131,-1.0891,9.93157
0.660073,0.411987,0.566483,10.149
0.660364,0.236511,1.01662,7.86781
0.660655,0.0343323,0.0267029,8.2283
0.660945,-0.181198,-0.736237,5.56564
0.661236,-0.400543,-1.8959,5.32532
0.661527,-0.598908,-1.11771,2.35176
0.661818,-0.757218,0.263214,0.209808
0.662109,-0.8564,0.736237,-0.370026
0.6624,-0.900269,1.12152,-4.53377
0.662691,-0.892639,-0.324249,-5.28908
0.662982,-0.858307,-0.226975,-6.76155
0.663273,-0.822067,-0.392914,-10.0422
0.663564,-0.806809,-0.173569,-8.00896
0.663855,-0.825882,0.932694,-9.30977
0.664145,-0.877381,0.576019,-8.9283
0.664436,-0.94986,-0.181198,-10.2139
0.664727,-1.01662,1.31607,-5.77355
0.665018,-1.04523,0.867844,-4.5147
0.665309,-1.00327,0.34523,-5.01824
0.6656,-0.873566,-0.257492,-4.59862
0.665891,-0.654221,-0.595093,-0.398636
0.666182,-0.358582,0.499725,4.34494
0.666473,-0.0286102,1.46675,4.55093
0.666764,0.28801,-0.0705719,4.26674
0.667055,0.537872,0.354767,6.64711
0.667345,0.684738,-0.644684,8.56209
0.667636,0.713349,-2.60925,6.61278
0.667927,0.63324,-0.789643,10.088
0.668218,0.473023,0.562668,9.14765
0.668509,0.268936,0.88501,7.94792
0.6688,0.0534058,-0.387192,4.88091
0.669091,-0.148773,-0.125885,5.16892
0.669382,-0.329971,-1.75095,6.56319
0.669673,-0.486374,-1.67656,3.61633
0.669964,-0.616074,0.335693,1.59073
0.670255,-0.720978,1.57929,-2.13623
0.670545,-0.787735,-0.88501,-2.30598
0.670836,-0.812531,1.13678,-5.77545
0.671127,-0.801087,0.0934601,-7.64656
0.671418,-0.766754,-0.322342,-7.27463
0.671709,-0.740051,-0.642777,-8.24738
0.672,-0.751495,0.79155,-9.2392
0.672291,-0.816345,0.267029,-10.1509
0.672582,-0.925064,1.11961,-8.61168
0.672873,-1.04523,1.44577,-7.74002
0.673164,-1.12343,-0.0553131,-5.96809
0.673455,-1.11008,-0.173569,-4.13132
0.673745,-0.976563,0.175476,-1.6346
0.674036,-0.717163,-0.806809,-0.972748
0.674327,-0.370026,0.886917,3.41797
0.674618,0.0076294,1.13487,2.4147
0.674909,0.34523,-0.41008,8.76045
0.6752,0.591278,2.11525,2.66647
0.675491,0.713349,-2.16675,6.33621
0.675782,0.713349,-1.35994,5.71251
0.676073,0.610352,-0.66185,10.1833
0.676364,0.440598,-0.892639,8.65936
0.676655,0.234604,0.780106,8.0967
0.676945,0.0209808,0.66185,9.52912
0.677236,-0.18692,-0.562668,5.81741
0.677527,-0.37384,-1.2207,4.6711
0.677818,-0.530243,-1.82915,3.81851
0.678109,-0.652313,-0.701904,0.999451
0.6784,-0.738144,0.741959,-0.123978
0.678691,-0.782013,1.38855,-2.37656
0.678982,-0.797272,-0.0209808,-5.40352
0.679273,-0.793457,0.0782013,-5.25093
0.679564,-0.787735,0.549317,-7.41387
